MySQL Parameter,PostgreSQL Parameter,Similarity
table-open-cache-instances=#,temp_buffers,0.8292265
sort-buffer-size=#,default_tablespace,0.8292077
key-buffer-size=#,max_files_per_process,0.8291904
max-allowed-packet=#,ssl_key_file,0.8290478
max-allowed-packet=#,log_destination,0.82900226
innodb-buffer-pool-size=#,max_files_per_process,0.8289975
innodb-purge-threads[=#],max_slot_wal_keep_size,0.82898897
key-buffer-size=#,default_toast_compression,0.82897174
key-buffer-size=#,jit_inline_above_cost,0.8289033
replica-max-allowed-packet=#,temp_buffers,0.82883537
tmp-table-size=#,max_standby_archive_delay,0.8288101
innodb-log-buffer-size=#,log_min_duration_sample,0.82878375
mysqlx-max-allowed-packet[=#],wal_receiver_timeout,0.82877177
max-allowed-packet=#,max_wal_senders,0.8287612
join-buffer-size=#,dynamic_shared_memory_type,0.82869565
innodb-adaptive-hash-index,ssl_passphrase_command_supports_reload,0.82864857
innodb-thread-concurrency=#,logging_collector,0.8286181
binlog-cache-size=#,autovacuum_multixact_freeze_max_age,0.8284635
innodb-thread-concurrency=#,min_dynamic_shared_memory,0.82839954
sort-buffer-size=#,effective_io_concurrency,0.8283428
innodb-file-per-table,recovery_target_lsn,0.8283322
slave-max-allowed-packet=#,allow_in_place_tablespaces,0.8282808
binlog-cache-size=#,update_process_title,0.828276
bulk-insert-buffer-size=#,backtrace_functions,0.82825434
innodb-adaptive-hash-index,autovacuum_freeze_max_age,0.8281599
tmp-table-size=#,temp_buffers,0.8280692
innodb-read-io-threads=#,max_logical_replication_workers,0.8280495
innodb-log-buffer-size=#,vacuum_cost_page_hit,0.82803094
innodb-log-buffer-size=#,log_statement_stats,0.82794
innodb-io-capacity=#,max_wal_senders,0.82793057
innodb-io-capacity=#,update_process_title,0.82789207
binlog-cache-size=#,wal_buffers,0.82789004
bulk-insert-buffer-size=#,default_toast_compression,0.8278706
bulk-insert-buffer-size=#,geqo_effort,0.82777107
innodb-io-capacity-max=#,log_min_duration_sample,0.8277073
innodb-adaptive-hash-index-parts[=#],jit_above_cost,0.8276007
innodb-buffer-pool-size=#,min_parallel_table_scan_size,0.827515
join-buffer-size=#,default_tablespace,0.82741845
key-buffer-size=#,superuser_reserved_connections,0.8273968
read-buffer-size=#,dynamic_shared_memory_type,0.82739663
myisam-sort-buffer-size=#,restore_command,0.8273945
innodb-thread-concurrency=#,max_parallel_maintenance_workers,0.8273637
innodb-write-io-threads=#,log_executor_stats,0.8273351
innodb-buffer-pool-size=#,default_transaction_read_only,0.8272447
read-rnd-buffer-size=#,wal_block_size,0.82720125
binlog-cache-size=#,maintenance_io_concurrency,0.827072
max-connections=#,max_parallel_workers,0.82706225
max-binlog-cache-size=#,commit_delay,0.82703686
innodb-thread-concurrency=#,transaction_isolation,0.82700455
read-buffer-size=#,log_min_duration_sample,0.8270017
innodb-adaptive-hash-index,hash_mem_multiplier,0.8269342
innodb-adaptive-hash-index-parts[=#],ssl_prefer_server_ciphers,0.8268502
join-buffer-size=#,autovacuum_work_mem,0.826845
read-buffer-size=#,debug_print_parse,0.82677305
innodb-purge-threads[=#],log_parameter_max_length,0.82674485
join-buffer-size=#,cluster_name,0.82673514
myisam-sort-buffer-size=#,archive_command,0.826733
replica-max-allowed-packet=#,temp_file_limit,0.8266766
sort-buffer-size=#,shared_memory_type,0.8265958
innodb-write-io-threads=#,log_planner_stats,0.8265953
innodb-io-capacity=#,commit_siblings,0.82644165
sort-buffer-size=#,max_wal_senders,0.8264381
join-buffer-size=#,idle_session_timeout,0.8264159
innodb-io-capacity=#,log_planner_stats,0.8264095
join-buffer-size=#,maintenance_work_mem,0.8263407
innodb-log-buffer-size=#,log_autovacuum_min_duration,0.8263057
table-open-cache-instances=#,max_pred_locks_per_transaction,0.82627636
innodb-io-capacity=#,backend_flush_after,0.82627237
innodb-io-capacity=#,bgwriter_flush_after,0.82627237
innodb-io-capacity=#,checkpoint_flush_after,0.82627237
max-binlog-cache-size=#,autovacuum_work_mem,0.826267
key-buffer-size=#,autovacuum_multixact_freeze_max_age,0.82625145
innodb-io-capacity=#,client_encoding,0.8261905
binlog-cache-size=#,autovacuum_freeze_max_age,0.8261435
binlog-cache-size=#,default_table_access_method,0.8261289
max-binlog-cache-size=#,commit_siblings,0.82612216
max-binlog-cache-size=#,max_prepared_transactions,0.8261191
binlog-cache-size=#,session_replication_role,0.8261082
sort-buffer-size=#,recovery_end_command,0.8261033
innodb-write-io-threads=#,max_logical_replication_workers,0.8260671
innodb-write-io-threads=#,restart_after_crash,0.8260411
innodb-max-dirty-pages-pct=#,ignore_invalid_pages,0.8260335
sort-buffer-size=#,max_parallel_workers,0.8258899
max-binlog-cache-size=#,max_parallel_maintenance_workers,0.82584834
innodb-thread-concurrency=#,log_min_error_statement,0.8258053
innodb-thread-concurrency=#,vacuum_cost_page_hit,0.82580197
innodb-buffer-pool-size=#,max_standby_archive_delay,0.8257084
innodb-buffer-pool-size=#,recovery_init_sync_method,0.8256824
tmp-table-size=#,default_toast_compression,0.8256041
innodb-file-per-table,wal_init_zero,0.8255592
innodb-online-alter-log-max-size=#,max_sync_workers_per_subscription,0.82555634
bulk-insert-buffer-size=#,maintenance_io_concurrency,0.825529
innodb-log-buffer-size=#,archive_cleanup_command,0.8255036
max-connections=#,max_wal_senders,0.82549065
innodb-adaptive-hash-index-parts[=#],data_checksums,0.8254672
table-open-cache-instances=#,max_index_keys,0.8254653
table-open-cache=#,max_index_keys,0.8254646
tmp-table-size=#,debug_discard_caches,0.82536125
replica-max-allowed-packet=#,ssl_cert_file,0.82532233
sort-buffer-size=#,restore_command,0.8253163
innodb-old-blocks-time=#,log_parameter_max_length,0.82528025
innodb-adaptive-hash-index-parts[=#],log_min_duration_sample,0.8251805
table-open-cache-instances=#,wal_buffers,0.8251733
binlog-cache-size=#,debug_print_rewritten,0.8251394
tmp-table-size=#,hot_standby_feedback,0.8251097
read-buffer-size=#,max_slot_wal_keep_size,0.8250612
read-buffer-size=#,max_standby_streaming_delay,0.82504267
sort-buffer-size=#,transaction_deferrable,0.8250127
read-buffer-size=#,max_standby_archive_delay,0.8249682
innodb-log-buffer-size=#,promote_trigger_file,0.8249336
innodb-purge-threads[=#],autovacuum_vacuum_threshold,0.8248991
read-buffer-size=#,commit_delay,0.8248576
read-buffer-size=#,event_source,0.82485676
key-buffer-size=#,autovacuum_analyze_scale_factor,0.8248549
innodb-log-file-size=#,wal_recycle,0.8247991
innodb-buffer-pool-size=#,max_standby_streaming_delay,0.8247454
sort-buffer-size=#,max_files_per_process,0.8247451
tmp-table-size=#,temp_file_limit,0.8247336
innodb-io-capacity=#,debug_assertions,0.82471967
innodb-thread-concurrency=#,jit_profiling_support,0.8246999
join-buffer-size=#,wal_keep_size,0.82458866
innodb-log-buffer-size=#,idle_in_transaction_session_timeout,0.82458484
join-buffer-size=#,recovery_end_command,0.82451
innodb-sort-buffer-size=#,work_mem,0.8244542
innodb-sort-buffer-size=#,work_mem,0.8244542
innodb-max-dirty-pages-pct=#,wal_skip_threshold,0.8244425
binlog-cache-size=#,autovacuum_work_mem,0.8244178
innodb-log-buffer-size=#,max_parallel_workers_per_gather,0.8243668
mysqlx-max-connections[=#],temp_buffers,0.8243239
read-rnd-buffer-size=#,log_parameter_max_length,0.8243189
innodb-thread-concurrency=#,logical_decoding_work_mem,0.82430804
bulk-insert-buffer-size=#,default_tablespace,0.8242064
innodb-log-file-size=#,allow_in_place_tablespaces,0.8241981
binlog-cache-size=#,enable_partition_pruning,0.8241137
innodb-thread-concurrency=#,log_executor_stats,0.8241074
myisam-sort-buffer-size=#,max_slot_wal_keep_size,0.8240991
innodb-adaptive-hash-index-parts[=#],default_toast_compression,0.8240857
innodb-io-capacity=#,max_slot_wal_keep_size,0.82405853
innodb-log-file-size=#,ssl_passphrase_command_supports_reload,0.8240509
innodb-old-blocks-time=#,recovery_end_command,0.82404065
innodb-buffer-pool-size=#,logging_collector,0.82404053
join-buffer-size=#,client_min_messages,0.8240237
innodb-read-io-threads=#,log_executor_stats,0.8240199
max-binlog-cache-size=#,maintenance_work_mem,0.8239598
max-allowed-packet=#,synchronous_commit,0.8239455
table-open-cache=#,max_pred_locks_per_page,0.8239424
innodb-write-io-threads=#,ssl_key_file,0.8238604
innodb-write-io-threads=#,wal_skip_threshold,0.82383454
innodb-file-per-table,wal_buffers,0.8238318
table-open-cache=#,autovacuum_work_mem,0.82380116
mysqlx-max-connections[=#],commit_siblings,0.8237659
key-buffer-size=#,wal_sync_method,0.82374275
innodb-thread-concurrency=#,maintenance_work_mem,0.8237181
binlog-cache-size=#,wal_skip_threshold,0.8235759
innodb-file-per-table,autovacuum_vacuum_threshold,0.8235526
innodb-file-per-table,parallel_leader_participation,0.82346034
tmp-table-size=#,wal_sync_method,0.82345843
max-binlog-cache-size=#,wal_block_size,0.8234555
innodb-read-io-threads=#,ssl_passphrase_command_supports_reload,0.8234122
innodb-file-per-table,log_parameter_max_length,0.8234012
innodb-file-per-table,enable_partition_pruning,0.8233912
mysqlx-max-connections[=#],shared_buffers,0.823385
innodb-log-buffer-size=#,wal_skip_threshold,0.8233766
key-buffer-size=#,event_source,0.82331544
innodb-io-capacity=#,archive_cleanup_command,0.8233027
binlog-cache-size=#,server_version_num,0.823285
innodb-io-capacity=#,primary_slot_name,0.8232602
innodb-log-buffer-size=#,default_transaction_read_only,0.8232496
innodb-io-capacity=#,min_dynamic_shared_memory,0.8232455
innodb-adaptive-hash-index-parts[=#],dynamic_shared_memory_type,0.8232455
innodb-write-io-threads=#,fsync,0.82323563
innodb-adaptive-hash-index-parts[=#],wal_block_size,0.823228
max-allowed-packet=#,transaction_isolation,0.8232203
key-buffer-size=#,jit_above_cost,0.8231992
innodb-log-buffer-size=#,wal_segment_size,0.8231263
innodb-file-per-table,server_version_num,0.8231186
key-cache-age-threshold=#,cursor_tuple_fraction,0.8230665
innodb-log-buffer-size=#,default_tablespace,0.82305336
innodb-adaptive-hash-index-parts[=#],wal_segment_size,0.82304204
innodb-write-io-threads=#,remove_temp_files_after_crash,0.8230174
innodb-adaptive-hash-index-parts[=#],max_index_keys,0.8229493
innodb-thread-concurrency=#,jit_dump_bitcode,0.82290673
binlog-cache-size=#,wal_consistency_checking,0.82290196
innodb-old-blocks-time=#,idle_session_timeout,0.8228761
read-buffer-size=#,min_parallel_index_scan_size,0.8227547
innodb-adaptive-hash-index-parts[=#],server_version_num,0.82272017
innodb-log-buffer-size=#,recovery_target_xid,0.8227116
innodb-read-io-threads=#,log_planner_stats,0.8226974
innodb-log-buffer-size=#,vacuum_cost_page_miss,0.82269645
innodb-log-buffer-size=#,ssl_key_file,0.82269454
bulk-insert-buffer-size=#,autovacuum_vacuum_threshold,0.8226876
binlog-cache-size=#,log_planner_stats,0.8226726
max-allowed-packet=#,ssl_cert_file,0.8225374
replica-max-allowed-packet=#,effective_io_concurrency,0.82252204
innodb-read-io-threads=#,track_io_timing,0.82251203
innodb-file-per-table,commit_siblings,0.8224859
innodb-io-capacity=#,client_min_messages,0.8224829
innodb-io-capacity=#,superuser_reserved_connections,0.82246053
key-buffer-size=#,jit_dump_bitcode,0.8224412
max-allowed-packet=#,event_source,0.82243943
innodb-read-io-threads=#,max_files_per_process,0.8224219
innodb-adaptive-hash-index-parts[=#],superuser_reserved_connections,0.82241666
sort-buffer-size=#,temp_tablespaces,0.8223727
join-buffer-size=#,shared_memory_type,0.8222338
read-buffer-size=#,max_parallel_workers_per_gather,0.82219553
innodb-io-capacity=#,effective_io_concurrency,0.8221302
innodb-read-io-threads=#,restart_after_crash,0.82201546
slave-max-allowed-packet=#,syslog_sequence_numbers,0.8219834
innodb-file-per-table,wal_sync_method,0.82194275
binlog-cache-size=#,logical_decoding_work_mem,0.8219097
read-rnd-buffer-size=#,syslog_sequence_numbers,0.82175136
innodb-log-file-size=#,update_process_title,0.8217406
replica-max-allowed-packet=#,ssl_key_file,0.82165694
binlog-cache-size=#,idle_in_transaction_session_timeout,0.82164836
replica-max-allowed-packet=#,synchronous_commit,0.8216181
innodb-read-io-threads=#,wal_keep_size,0.8216071
join-buffer-size=#,recovery_target_lsn,0.82158136
read-buffer-size=#,superuser_reserved_connections,0.8215757
innodb-read-io-threads=#,wal_skip_threshold,0.82147944
innodb-log-buffer-size=#,log_min_duration_statement,0.8214761
join-buffer-size=#,log_min_duration_sample,0.8214401
innodb-thread-concurrency=#,syslog_split_messages,0.8213726
binlog-cache-size=#,enable_incremental_sort,0.8213723
max-allowed-packet=#,transaction_read_only,0.8213717
binlog-cache-size=#,jit_dump_bitcode,0.8213601
binlog-cache-size=#,autovacuum_vacuum_threshold,0.8213161
binlog-cache-size=#,autovacuum_vacuum_scale_factor,0.82130027
binlog-cache-size=#,quote_all_identifiers,0.82128155
key-cache-age-threshold=#,backend_flush_after,0.82127714
key-cache-age-threshold=#,bgwriter_flush_after,0.82127714
key-cache-age-threshold=#,checkpoint_flush_after,0.82127714
tmp-table-size=#,log_temp_files,0.8212259
max-binlog-cache-size=#,default_transaction_read_only,0.821178
innodb-io-capacity=#,autovacuum_work_mem,0.8211581
innodb-file-per-table,hash_mem_multiplier,0.82114685
innodb-log-file-size=#,log_autovacuum_min_duration,0.8211051
tmp-table-size=#,lo_compat_privileges,0.82105064
innodb-log-buffer-size=#,ssl_cert_file,0.8210211
innodb-io-capacity=#,ignore_invalid_pages,0.8209472
read-buffer-size=#,idle_in_transaction_session_timeout,0.8209423
innodb-buffer-pool-size=#,max_wal_senders,0.8208921
innodb-adaptive-hash-index-parts[=#],log_parameter_max_length_on_error,0.8208674
innodb-buffer-pool-size=#,transaction_deferrable,0.8208333
innodb-old-blocks-time=#,syslog_sequence_numbers,0.8207469
innodb-old-blocks-time=#,autovacuum_vacuum_scale_factor,0.820742
innodb-file-per-table,event_source,0.82071143
table-open-cache=#,max_replication_slots,0.8206935
innodb-read-io-threads=#,log_destination,0.82067823
key-buffer-size=#,max_wal_senders,0.82064927
innodb-write-io-threads=#,log_destination,0.8205948
innodb-log-buffer-size=#,listen_addresses,0.82057923
bulk-insert-buffer-size=#,jit_tuple_deforming,0.82055837
bulk-insert-buffer-size=#,max_slot_wal_keep_size,0.82055646
innodb-max-dirty-pages-pct=#,full_page_writes,0.8205352
tmp-table-size=#,min_dynamic_shared_memory,0.82047546
innodb-io-capacity=#,default_table_access_method,0.82045984
innodb-adaptive-hash-index-parts[=#],jit_profiling_support,0.8204355
max-binlog-cache-size=#,shared_memory_type,0.82035923
binlog-cache-size=#,recovery_end_command,0.820333
max-binlog-cache-size=#,idle_session_timeout,0.82030904
innodb-log-buffer-size=#,idle_session_timeout,0.8202772
replica-max-allowed-packet=#,idle_in_transaction_session_timeout,0.82025385
innodb-buffer-pool-size=#,syslog_split_messages,0.8202262
innodb-log-file-size=#,wal_sync_method,0.8201931
innodb-io-capacity=#,temp_buffers,0.820179
innodb-thread-concurrency=#,recovery_target_name,0.82015514
innodb-write-io-threads=#,jit_above_cost,0.8201248
innodb-buffer-pool-size=#,default_tablespace,0.8201183
binlog-cache-size=#,wal_sync_method,0.82011604
innodb-buffer-pool-size=#,min_dynamic_shared_memory,0.8200965
innodb-thread-concurrency=#,default_tablespace,0.8200866
innodb-log-file-size=#,lo_compat_privileges,0.820062
innodb-write-io-threads=#,lo_compat_privileges,0.82003534
read-buffer-size=#,recovery_target_lsn,0.8200331
tmp-table-size=#,syslog_split_messages,0.82001424
innodb-thread-concurrency=#,commit_delay,0.8200022
innodb-io-capacity=#,remove_temp_files_after_crash,0.819992
innodb-read-io-threads=#,ssl_key_file,0.81997836
binlog-cache-size=#,log_parameter_max_length_on_error,0.8199686
slave-max-allowed-packet=#,archive_mode,0.8199383
innodb-thread-concurrency=#,trace_recovery_messages,0.81988704
innodb-io-capacity=#,recovery_target_lsn,0.81986916
mysqlx-max-connections[=#],max_slot_wal_keep_size,0.8198145
key-buffer-size=#,archive_command,0.8198005
tmp-table-size=#,syslog_facility,0.81977403
innodb-read-io-threads=#,hash_mem_multiplier,0.8197432
key-buffer-size=#,autovacuum_freeze_max_age,0.8196167
max-binlog-cache-size=#,superuser_reserved_connections,0.81961215
table-open-cache=#,debug_print_parse,0.819605
read-rnd-buffer-size=#,syslog_split_messages,0.8195621
sort-buffer-size=#,max_slot_wal_keep_size,0.81954634
innodb-old-blocks-time=#,temp_file_limit,0.81954277
key-buffer-size=#,hash_mem_multiplier,0.8195306
table-open-cache=#,commit_siblings,0.81950366
innodb-io-capacity-max=#,track_activity_query_size,0.8194596
innodb-file-per-table,max_slot_wal_keep_size,0.81944937
innodb-old-blocks-time=#,shared_buffers,0.8194485
innodb-thread-concurrency=#,dynamic_shared_memory_type,0.8194106
binlog-cache-size=#,archive_command,0.81940126
table-open-cache=#,autovacuum_vacuum_threshold,0.8193629
bulk-insert-buffer-size=#,allow_in_place_tablespaces,0.81934154
innodb-io-capacity=#,promote_trigger_file,0.819324
key-buffer-size=#,backend_flush_after,0.8193192
key-buffer-size=#,bgwriter_flush_after,0.8193192
key-buffer-size=#,checkpoint_flush_after,0.8193192
myisam-sort-buffer-size=#,data_checksums,0.81928074
table-open-cache=#,max_pred_locks_per_relation,0.81923497
innodb-log-file-size=#,max_files_per_process,0.819208
innodb-thread-concurrency=#,client_encoding,0.8192026
binlog-cache-size=#,recovery_init_sync_method,0.81916654
tmp-table-size=#,vacuum_cost_page_hit,0.8191358
key-buffer-size=#,autovacuum_vacuum_threshold,0.8191293
binlog-cache-size=#,constraint_exclusion,0.8190911
read-buffer-size=#,primary_slot_name,0.81904674
myisam-sort-buffer-size=#,autovacuum_multixact_freeze_max_age,0.8190023
myisam-sort-buffer-size=#,wal_init_zero,0.81898314
innodb-max-dirty-pages-pct=#,ignore_system_indexes,0.81894964
bulk-insert-buffer-size=#,dynamic_shared_memory_type,0.8189479
innodb-log-file-size=#,log_file_mode,0.81894326
innodb-sort-buffer-size=#,shared_memory_type,0.8189301
innodb-sort-buffer-size=#,shared_memory_type,0.8189301
myisam-sort-buffer-size=#,promote_trigger_file,0.81892186
innodb-read-io-threads=#,fsync,0.81888324
innodb-file-per-table,recovery_end_command,0.8187336
max-binlog-cache-size=#,recovery_target_lsn,0.81866604
key-buffer-size=#,restore_command,0.81866336
innodb-write-io-threads=#,commit_siblings,0.8186004
innodb-log-buffer-size=#,transaction_isolation,0.8185523
tmp-table-size=#,max_slot_wal_keep_size,0.8185427
innodb-log-buffer-size=#,fsync,0.8185259
innodb-file-per-table,log_hostname,0.81851906
innodb-thread-concurrency=#,shared_memory_type,0.81850684
innodb-buffer-pool-size=#,idle_in_transaction_session_timeout,0.8184923
join-buffer-size=#,default_transaction_isolation,0.818477
innodb-log-file-size=#,restore_command,0.818473
innodb-log-file-size=#,archive_command,0.8184577
innodb-buffer-pool-size=#,log_min_duration_sample,0.8184282
join-buffer-size=#,superuser_reserved_connections,0.8184214
innodb-max-dirty-pages-pct=#,max_sync_workers_per_subscription,0.8183906
innodb-write-io-threads=#,ssl_cert_file,0.8183569
replica-max-allowed-packet=#,default_transaction_isolation,0.8183296
binlog-cache-size=#,jit_tuple_deforming,0.8183259
mysqlx-max-connections[=#],log_parameter_max_length,0.81830895
read-buffer-size=#,log_truncate_on_rotation,0.81824315
innodb-io-capacity=#,session_replication_role,0.8182352
table-open-cache-instances=#,work_mem,0.81821203
join-buffer-size=#,max_connections,0.8182118
innodb-read-io-threads=#,commit_siblings,0.81820035
tmp-table-size=#,wal_receiver_create_temp_slot,0.8181783
innodb-old-blocks-time=#,promote_trigger_file,0.81817436
read-buffer-size=#,max_parallel_maintenance_workers,0.8181528
innodb-old-blocks-time=#,wal_init_zero,0.81815016
sort-buffer-size=#,geqo_effort,0.81814516
read-rnd-buffer-size=#,vacuum_cost_page_hit,0.8181263
innodb-file-per-table,archive_timeout,0.81811464
innodb-read-io-threads=#,ssl_cert_file,0.8181
innodb-write-io-threads=#,hash_mem_multiplier,0.8180702
innodb-log-buffer-size=#,default_transaction_isolation,0.8180655
mysqlx-max-connections[=#],max_parallel_workers,0.81800324
table-open-cache=#,superuser_reserved_connections,0.81793106
table-open-cache=#,debug_print_rewritten,0.8178935
innodb-buffer-pool-size=#,backend_flush_after,0.8177337
innodb-buffer-pool-size=#,bgwriter_flush_after,0.8177337
innodb-buffer-pool-size=#,checkpoint_flush_after,0.8177337
innodb-thread-concurrency=#,max_parallel_workers,0.81771445
slave-max-allowed-packet=#,hash_mem_multiplier,0.8176092
max-connections=#,max_files_per_process,0.8175999
innodb-io-capacity=#,wal_init_zero,0.81751764
innodb-thread-concurrency=#,log_min_duration_sample,0.8175101
binlog-cache-size=#,wal_keep_size,0.81746846
key-buffer-size=#,server_encoding,0.81742716
innodb-online-alter-log-max-size=#,log_truncate_on_rotation,0.8174182
tmp-table-size=#,log_parameter_max_length_on_error,0.81735003
sort-buffer-size=#,debug_print_rewritten,0.81730014
innodb-log-file-size=#,local_preload_libraries,0.81728315
binlog-cache-size=#,debug_print_parse,0.8172749
key-buffer-size=#,shared_memory_type,0.81726265
innodb-file-per-table,ssl_prefer_server_ciphers,0.81721497
key-buffer-size=#,autovacuum_vacuum_scale_factor,0.81717235
innodb-log-buffer-size=#,log_parameter_max_length,0.8171618
key-buffer-size=#,commit_delay,0.81710696
binlog-cache-size=#,commit_siblings,0.81707466
bulk-insert-buffer-size=#,commit_siblings,0.8170644
innodb-io-capacity=#,fsync,0.8170581
innodb-old-blocks-time=#,log_autovacuum_min_duration,0.8170459
bulk-insert-buffer-size=#,track_activity_query_size,0.81704044
innodb-old-blocks-time=#,max_standby_archive_delay,0.8169998
innodb-log-file-size=#,promote_trigger_file,0.81697917
myisam-sort-buffer-size=#,max_standby_archive_delay,0.8169658
table-open-cache=#,track_activity_query_size,0.81696296
sort-buffer-size=#,max_standby_streaming_delay,0.8169568
bulk-insert-buffer-size=#,jit_dump_bitcode,0.8169073
max-allowed-packet=#,log_hostname,0.81690454
innodb-thread-concurrency=#,track_activity_query_size,0.8168843
innodb-file-per-table,debug_print_parse,0.8168777
innodb-thread-concurrency=#,primary_slot_name,0.8168336
join-buffer-size=#,lc_messages,0.81683165
innodb-file-per-table,max_standby_archive_delay,0.8168118
innodb-io-capacity=#,default_transaction_deferrable,0.8168025
innodb-file-per-table,server_encoding,0.8167661
innodb-log-file-size=#,ignore_invalid_pages,0.8166498
max-allowed-packet=#,effective_io_concurrency,0.81659395
innodb-adaptive-hash-index-parts[=#],event_source,0.8165841
innodb-buffer-pool-size=#,data_directory_mode,0.8165386
read-buffer-size=#,wal_receiver_timeout,0.8165173
innodb-log-buffer-size=#,cluster_name,0.8165084
read-buffer-size=#,archive_cleanup_command,0.81644887
binlog-cache-size=#,restore_command,0.8164331
replica-max-allowed-packet=#,wal_keep_size,0.8164114
max-binlog-cache-size=#,log_min_duration_statement,0.8164055
max-connections=#,max_parallel_maintenance_workers,0.81638944
key-buffer-size=#,jit_profiling_support,0.81638765
innodb-log-buffer-size=#,wal_init_zero,0.8163556
join-buffer-size=#,archive_command,0.8163489
binlog-cache-size=#,syslog_facility,0.8162788
innodb-adaptive-hash-index-parts[=#],archive_command,0.81626225
innodb-thread-concurrency=#,default_transaction_isolation,0.8162538
innodb-thread-concurrency=#,client_connection_check_interval,0.81614864
join-buffer-size=#,segment_size,0.8161472
bulk-insert-buffer-size=#,effective_io_concurrency,0.816121
max-binlog-cache-size=#,random_page_cost,0.81611466
innodb-old-blocks-time=#,primary_slot_name,0.81609327
myisam-sort-buffer-size=#,autovacuum_vacuum_threshold,0.81603223
table-open-cache=#,autovacuum_max_workers,0.8160033
table-open-cache=#,max_slot_wal_keep_size,0.81599367
innodb-buffer-pool-size=#,log_parser_stats,0.81599283
innodb-thread-concurrency=#,local_preload_libraries,0.8159458
myisam-sort-buffer-size=#,event_source,0.8159089
replica-max-allowed-packet=#,max_parallel_workers_per_gather,0.8158883
read-rnd-buffer-size=#,vacuum_cost_page_miss,0.81587833
innodb-log-buffer-size=#,debug_print_rewritten,0.8158626
myisam-sort-buffer-size=#,default_table_access_method,0.81582546
read-buffer-size=#,maintenance_work_mem,0.815804
innodb-max-dirty-pages-pct-lwm=#,wal_writer_flush_after,0.8157984
binlog-cache-size=#,parallel_setup_cost,0.81578404
innodb-write-io-threads=#,autovacuum_vacuum_threshold,0.8157781
innodb-write-io-threads=#,max_files_per_process,0.8157734
binlog-cache-size=#,log_transaction_sample_rate,0.81575763
innodb-thread-concurrency=#,hash_mem_multiplier,0.8157512
bulk-insert-buffer-size=#,autovacuum_freeze_max_age,0.8157123
innodb-old-blocks-time=#,max_standby_streaming_delay,0.81567454
innodb-old-blocks-time=#,wal_receiver_create_temp_slot,0.8156676
innodb-write-io-threads=#,debug_discard_caches,0.81565464
join-buffer-size=#,effective_io_concurrency,0.81562823
bulk-insert-buffer-size=#,recovery_target_lsn,0.8156271
read-rnd-buffer-size=#,temp_tablespaces,0.81561446
innodb-buffer-pool-size=#,jit_dump_bitcode,0.815612
table-open-cache-instances=#,max_connections,0.81560934
innodb-max-dirty-pages-pct=#,bgwriter_lru_maxpages,0.8155947
key-buffer-size=#,default_transaction_read_only,0.81557655
innodb-file-per-table,join_collapse_limit,0.815556
binlog-cache-size=#,ssl_passphrase_command_supports_reload,0.8155454
innodb-read-io-threads=#,autovacuum_vacuum_threshold,0.8155446
tmp-table-size=#,temp_tablespaces,0.8154841
replica-max-allowed-packet=#,logical_decoding_work_mem,0.8154805
bulk-insert-buffer-size=#,shared_memory_type,0.8154314
innodb-io-capacity-max=#,autovacuum_freeze_max_age,0.81542885
sort-buffer-size=#,syslog_ident,0.8153548
binlog-cache-size=#,log_min_duration_statement,0.81526756
key-buffer-size=#,dynamic_shared_memory_type,0.8152509
sort-buffer-size=#,archive_cleanup_command,0.8152231
max-binlog-cache-size=#,unix_socket_group,0.81520426
innodb-buffer-pool-size=#,unix_socket_permissions,0.81517947
bulk-insert-buffer-size=#,default_table_access_method,0.815161
max-binlog-cache-size=#,max_slot_wal_keep_size,0.8151338
binlog-cache-size=#,log_temp_files,0.8151282
innodb-thread-concurrency=#,ssl_prefer_server_ciphers,0.8151196
innodb-io-capacity=#,temp_file_limit,0.81511545
mysqlx-max-allowed-packet[=#],application_name,0.8150972
sort-buffer-size=#,max_pred_locks_per_transaction,0.8150556
slave-max-allowed-packet=#,log_parameter_max_length,0.8150306
read-buffer-size=#,idle_session_timeout,0.81501985
table-open-cache=#,temp_file_limit,0.8150178
myisam-sort-buffer-size=#,xmloption,0.8149873
innodb-old-blocks-time=#,superuser_reserved_connections,0.8149873
innodb-file-per-table,log_parser_stats,0.8149823
binlog-cache-size=#,log_truncate_on_rotation,0.8147605
join-buffer-size=#,log_min_duration_statement,0.81473255
innodb-sort-buffer-size=#,shared_buffers,0.81465405
innodb-sort-buffer-size=#,shared_buffers,0.81465405
key-buffer-size=#,autovacuum_max_workers,0.8146304
innodb-adaptive-hash-index-parts[=#],debug_print_parse,0.8146165
innodb-adaptive-hash-index-parts[=#],default_transaction_read_only,0.81460404
innodb-log-file-size=#,max_slot_wal_keep_size,0.8145852
innodb-write-io-threads=#,jit_optimize_above_cost,0.81454885
innodb-log-buffer-size=#,max_replication_slots,0.81450844
innodb-file-per-table,max_standby_streaming_delay,0.8145007
innodb-old-blocks-time=#,idle_in_transaction_session_timeout,0.8144826
innodb-log-buffer-size=#,ssl_crl_file,0.814479
binlog-cache-size=#,jit_expressions,0.8143958
innodb-thread-concurrency=#,checkpoint_warning,0.8143569
innodb-io-capacity=#,log_statement_stats,0.81435055
innodb-old-blocks-time=#,default_transaction_read_only,0.81435
tmp-table-size=#,log_parameter_max_length,0.81434536
innodb-adaptive-hash-index-parts[=#],geqo_effort,0.81433916
bulk-insert-buffer-size=#,min_parallel_table_scan_size,0.8142842
